materia,sigla,link
PROGRAMACIÓN 1 (RED.),PRO1,https://chat.whatsapp.com/LioKgdwHu965vVhJoiXmoA,
FUNDAMENTOS DE ARQUITECTURAS DE COMPUTADORAS,ARQ,https://chat.whatsapp.com/I0blW51ZcCMGvsc7bF7ftZ
PROGRAMACIÓN 2,PRO2,https://chat.whatsapp.com/IrZDst1D68L7waEu7s8rby
ARQUITECTURA DE COMPUTADORAS (RED.),ARQ,blank__
TALLER DE LENGUAJES 1 (RED.),TALL,https://chat.whatsapp.com/Iud9QioCd4ICHszqGklxAz
CONCEPTOS DE SISTEMAS OPERATIVOS,CSO,https://chat.whatsapp.com/IrdNYaSVLymAYPuLb00Ewl
TALLER DE LENGUAJES 2,TL2,https://chat.whatsapp.com/GfW8NsUfYjA0T5AzPDu0a7
